dir,# gen,age_less65_q00,age_65_q00,age_70_q00,age_75_q00,age_over80_q00,age_less65_q02,age_65_q02,age_70_q02,age_75_q02,age_over80_q02,age_less65_q04,age_65_q04,age_70_q04,age_75_q04,age_over80_q04,age_less65_q06,age_65_q06,age_70_q06,age_75_q06,age_over80_q06,age_less65_q08,age_65_q08,age_70_q08,age_75_q08,age_over80_q08,fitness,r2_all,r2_q00,r2_q02,r2_q04,r2_q06,r2_q08
randomseed81,26.0,1.216,1.2,1.2,1.2,1.3,1.073,1.11,1.107,1.1,1.069,1.0,1.0,1.039,1.0,1.0,0.9,1.0,0.969,0.9,0.9,0.8,0.806,0.788,0.785,0.874,239.942,0.585296055205994,0.5020592383009681,0.5741120005079455,0.6160051794977764,0.6085071986522512,0.6069927057503568
randomseed82,21.0,1.213,1.268,1.158,1.2,1.2,1.022,1.058,1.153,0.981,1.1,1.0,1.0,1.0,0.981,1.0,0.9,0.9,0.888,0.9,0.987,0.878,0.9,0.888,0.9,0.83,239.751,0.5844595340124329,0.48543051855005115,0.5791470046185123,0.6160051794977764,0.6127828616664013,0.6084140051945757
randomseed83,25.0,1.245,1.293,1.217,1.175,1.232,1.1,1.198,1.2,1.066,1.1,0.949,1.0,1.0,0.967,1.0,0.9,0.9,0.894,0.932,0.9,0.799,0.789,0.8,0.831,0.9,238.609,0.5857463462868612,0.5027186616302943,0.5791470046185123,0.6160051794977764,0.6051162204560284,0.6069927057503568
randomseed84,29.0,1.128,1.2,1.199,1.2,1.368,1.128,1.03,1.101,1.152,1.1,0.935,1.0,1.0,1.0,0.957,0.935,1.0,0.9,0.865,0.881,0.863,0.88,0.887,0.8,0.864,239.525,0.5861566685587061,0.5075987370433862,0.5567818141653318,0.6314817008579213,0.6066830728478989,0.6084140051945757
randomseed85,16.0,1.2,1.2,1.219,1.2,1.2,1.071,1.1,1.121,1.1,1.1,1.0,1.033,1.0,1.041,1.0,0.979,0.9,0.9,0.9,0.9,0.781,0.9,0.851,0.758,0.9,240.446,0.5823357512371771,0.5027186616302943,0.5834662232771566,0.6160051794977764,0.5838240468117639,0.6069927057503568
randomseed86,39.0,1.18,1.285,1.129,1.2,1.367,1.1,1.1,1.1,1.1,1.1,0.995,0.959,1.0,1.0,0.969,0.884,0.901,0.948,0.9,0.942,0.827,0.9,0.9,0.8,0.806,239.985,0.5834181352118943,0.5075987370433862,0.5834662232771566,0.6314817008579213,0.6127605279776633,0.5597391228130459
randomseed87,11.0,1.3,1.163,1.2,1.2,1.2,1.1,1.163,1.199,1.112,1.1,0.871,1.0,1.0,1.0,1.0,0.871,0.9,0.9,0.9,0.9,0.862,0.9,0.806,0.787,0.9,239.25,0.5795077828776581,0.48543051855005115,0.5834662232771566,0.6160051794977764,0.5838240468117639,0.6084140051945757
randomseed88,44.0,1.257,1.262,1.2,1.176,1.235,1.1,1.1,1.097,1.1,1.1,0.97,1.0,1.061,1.0,0.99,0.862,0.9,0.9,0.899,0.9,0.8,0.894,0.832,0.811,0.9,238.669,0.5826856564654959,0.48543051855005115,0.5834662232771566,0.6314817008579213,0.5838240468117639,0.6069927057503568
randomseed89,25.0,1.2,1.2,1.2,1.2,1.2,1.115,1.155,1.105,1.039,1.124,1.004,1.0,1.0,1.0,1.0,0.989,0.9,0.89,0.9,0.9,0.678,0.885,0.89,0.841,0.9,238.894,0.5764087395751969,0.48543051855005115,0.5694267721709283,0.6160051794977764,0.5838240468117639,0.6069927057503568
randomseed90,28.0,1.2,1.3,1.268,1.2,1.2,1.162,1.161,1.1,1.1,1.1,0.914,0.972,1.0,1.0,1.0,0.914,0.944,0.9,0.887,0.91,0.78,0.782,0.828,0.812,0.9,239.224,0.582784763845352,0.5027186616302943,0.5567818141653318,0.6160051794977764,0.6127828616664013,0.6069927057503568
randomseed91,28.0,1.2,1.255,1.261,1.2,1.2,1.153,1.1,0.97,1.1,1.085,0.939,1.0,0.97,1.0,1.0,0.9,0.9,0.97,0.893,0.92,0.8,0.9,0.894,0.8,0.898,238.623,0.5827802743043187,0.5027186616302943,0.5567818141653318,0.6160051794977764,0.6127605279776633,0.6069927057503568
randomseed92,25.0,1.264,1.3,1.297,1.2,1.2,1.098,1.073,1.0,1.0,1.186,0.926,1.0,1.0,0.983,0.98,0.9,0.899,0.9,0.929,0.98,0.8,0.899,0.891,0.851,0.8,239.673,0.5832719144207412,0.5027186616302943,0.5838457808004065,0.6314817008579213,0.6160067681983439,0.5597391228130459
randomseed93,23.0,1.2,1.2,1.2,1.222,1.2,1.1,1.1,1.1,1.078,1.1,0.999,1.0,1.0,1.0,1.0,0.87,0.924,0.984,0.9,0.912,0.8,0.9,0.8,0.8,0.9,239.161,0.5841825354441847,0.48543051855005115,0.5791470046185123,0.6160051794977764,0.6127605279776633,0.6069927057503568
randomseed94,18.0,1.2,1.42,1.361,1.182,1.2,1.1,1.0,1.1,1.1,1.1,1.0,1.0,1.0,1.019,1.0,0.9,0.9,0.9,0.9,0.922,0.8,0.844,0.782,0.8,0.9,238.791,0.5893049612347254,0.5091191926826808,0.5834662232771566,0.6160051794977764,0.6127828616664013,0.6069927057503568
randomseed95,35.0,1.329,1.313,1.248,1.175,1.222,1.165,1.1,1.1,1.015,1.097,0.91,0.988,0.943,1.0,1.0,0.866,0.9,0.9,0.971,0.9,0.7,0.841,0.9,0.812,0.9,238.173,0.5837893915620237,0.5027186616302943,0.5694267721709283,0.6160051794977764,0.6051162204560284,0.6069927057503568
randomseed96,28.0,1.226,1.322,1.315,1.437,1.225,1.0,1.066,1.0,1.0,1.153,0.958,1.0,0.98,0.916,0.989,0.9,0.9,0.9,0.916,0.9,0.9,0.86,0.9,0.784,0.863,239.047,0.5901452142845782,0.5064878798809676,0.5791470046185123,0.6314817008579213,0.6051162204560284,0.6084140051945757
randomseed97,46.0,1.211,1.217,1.217,1.2,1.299,1.027,1.129,1.1,1.106,1.1,1.027,1.0,0.97,0.922,1.0,0.937,0.986,0.9,0.9,0.9,0.799,0.8,0.9,0.876,0.859,238.515,0.5879621019594587,0.5084686259067775,0.5834662232771566,0.6160051794977764,0.6066830728478989,0.6069927057503568
randomseed98,14.0,1.2,1.2,1.2,1.2,1.223,1.1,1.1,1.1,1.1,1.1,1.0,1.0,1.0,0.996,1.0,0.9,1.0,0.9,0.9,0.9,0.8,0.8,0.877,0.8,0.9,239.307,0.5838304187265554,0.48543051855005115,0.5834662232771566,0.6160051794977764,0.6066830728478989,0.6069927057503568
randomseed99,19.0,1.22,1.2,1.2,1.2,1.226,1.1,1.1,1.1,1.1,1.1,1.0,1.0,1.0,0.996,1.0,0.844,1.0,0.978,0.9,0.9,0.8,0.826,0.8,0.8,0.9,239.051,0.5839145352320343,0.48543051855005115,0.5834662232771566,0.6160051794977764,0.6071015191516933,0.6069927057503568
